"metric","value"
"Total_samples_config","31"
"Samples_group_filtered","31"
"Control_group_n","16"
"Test_group_n","15"
"Duplicate_basenames","0"
"IDAT_pairs_missing","0"
"IDAT_modal_size","622399"
