"CellType","P_Value","Eta_Squared"
"Cell_Latent1",0.236027535067132,0.0480643211971847
"Cell_Latent2",0.174061970206257,0.0627565499228834
"Cell_Latent3",0.731143187042831,0.00413338795079969
"Cell_Latent4",0.123927934262589,0.0796750777871951
"Cell_Latent5",0.0786519565458217,0.102799839619605
