"metric","value"
"calibration_score",NA
"preservation_score",0.729519885076809
"batch_removal_score",1
"ncs_score",NA
"cai",0.842219932961472
"null_fpr",NA
"null_lambda",NA
"null_ks_p",NA
"lambda_observed_all",0.92022144199273
"lambda_observed_vp_top",NA
"lambda_ratio",NA
"marker_retention",NA
"effect_concordance",0.729519885076809
"batch_reduction_ratio",1
"weight_calibration",0.4
"weight_preservation",0.35
"weight_batch",0.25
"weight_ncs",0
