"Sample","Group","Detection_Fail_Fraction","M_Median","U_Median"
"GSM2808876_8918692108_R01C01","AD",0.00111840696007514,11.4130989849153,11.2395985292491
"GSM2808878_8918692108_R02C01","AD",0.000294534429633047,11.5887146355823,11.2946207488916
"GSM2808880_8918692108_R03C01","AD",0.000584949496613884,11.724087461794,11.4450148458684
"GSM2808882_8918692108_R04C01","AD",0.000803275717181038,11.7573900093666,11.4408691676109
"GSM2808884_8918692108_R05C01","AD",0.000430473397155992,11.9650627567446,11.5043224482919
"GSM2808886_8918692108_R06C01","CTRL",0.000539636507439569,11.9675865272961,11.4625022725973
"GSM2808888_8918692120_R04C01","AD",0.000852708069007563,11.9904585650737,11.407798850222
"GSM2808890_8918692120_R05C01","AD",0.00115960058659724,11.8411711892485,11.4706588740606
"GSM2808892_8918692120_R06C01","AD",0.000994826080508824,11.8225708309502,11.357002092265
"GSM2808894_8221932039_R03C01","CTRL",0.000842409662377037,11.7008731551403,11.7648715907361
"GSM2808896_8221932039_R05C01","CTRL",0.000852708069007563,11.7923836149352,12.0129736483745
"GSM2808898_8221932039_R01C02","CTRL",0.000677635156288619,11.3874788658424,11.5891829670394
"GSM2808900_8221932039_R03C02","CTRL",0.000852708069007563,11.8614746751258,11.7768442324022
"GSM2808902_8221932039_R05C02","CTRL",0.000477846067656412,11.6252522217469,11.9255544398736
"GSM2808904_9297953052_R01C01","CTRL",0.000121521198240208,11.7270695580237,11.4823037823232
"GSM2808906_9247377036_R05C02","CTRL",0.00023274398984989,12.0724676082419,11.6640027628865
"GSM2808908_9247377057_R06C01","CTRL",0.000179192275371155,12.3466522341057,11.9362698576022
"GSM2808910_3998919115_R01C01","CTRL",0.00136556871920776,11.6348110501717,11.3575520046181
"GSM2808912_3998919115_R02C01","AD",0.00104013906968314,11.6174674652942,11.1208858427878
"GSM2808914_3998919115_R03C01","AD",0.00111016823477072,11.7627972624982,11.2894425756883
"GSM2808916_3998919115_R04C01","CTRL",0.000597307584570515,11.8634119589416,11.3020676725265
"GSM2808918_3998919115_R05C01","CTRL",0.00063850121109262,11.8340759534349,11.3145832442742
"GSM2808920_3998919116_R02C01","CTRL",0.00036250391339452,11.7557221536423,11.1761731491075
"GSM2808922_3998919116_R03C01","CTRL",0.000339847418807362,11.8494051009478,11.1805308073445
"GSM2808924_3998920130_R01C01","CTRL",0.000768261134637249,11.680799034573,11.1085244567782
"GSM2808926_3998920130_R02C01","CTRL",0.000834170937072616,11.7291958591321,11.0518886559054
"GSM2808928_3998919116_R04C01","AD",0.000949513091334509,11.963618617444,11.2796105810525
"GSM2808930_3998919116_R05C01","AD",0.000854767750333668,12.1688287880614,11.4120405145517
"GSM2808932_3998919116_R06C01","AD",0.000444891166438729,12.1519678709682,11.3630396302565
"GSM2808934_3998920130_R03C01","AD",0.000337787737481257,11.8017083589165,11.1324997296285
"GSM2808936_3998920130_R04C01","AD",0.000986587355204403,12.006676715309,11.2100624832402
